		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.914062	M = 1500	N = 8	m = 9	n = 12000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000101001    3    2    4    6    2    2    6    4  8.444552 0.391292 SUCCESS  19
000101011    4    1    3    3    3    1    3    3  3.016318 0.933329 SUCCESS  20
000101101    0    2    3    1    2    1    2    3  6.475162 0.594164 SUCCESS  21
000101111    2    4    1    5    3    3    3    0  6.546877 0.586213 SUCCESS  22
000110011    2    3    3    2    8    2    1    2 11.611022 0.169421 SUCCESS  23
000110101    1    3    3    5    3    4    6    1  7.909452 0.442365 SUCCESS  24
000110111    5    2    6    5    3    4    0    6 13.508698 0.095504 SUCCESS  25
000111001    4    2    4    2    2    1    1    3  4.307178 0.828400 SUCCESS  26
000111011    2    3    0    2    1    4    4    2  6.011776 0.645913 SUCCESS  27
000111101    1    6    6    3    3    4    2    2  9.029301 0.339830 SUCCESS  28
000111111    2    4    3    3    2    1    7    1  9.492687 0.302451 SUCCESS  29
001000011    5    3    1    1    0    2    3    3  7.424000 0.491651 SUCCESS  30
001000101    5    1    0    5    2    4    3    4  8.494201 0.386741 SUCCESS  31
001000111    1    6    4    3    2    3    1    2  6.960614 0.540888 SUCCESS  32
001001011    5    3    5    4    2    2    3    6  7.446066 0.489356 SUCCESS  33
001001101    2    2    8    1    2    6    0    1 18.964514 0.015051 SUCCESS  34
001001111    3    4    1    6    4    4    1    3  7.203340 0.514861 SUCCESS  35
001010011    1    1    6    4    3    4    3    8 15.919407 0.043548 SUCCESS  36
001010101    4    2    2    3    6    1    2    2  6.254502 0.618747 SUCCESS  37
001010111    4    1    3    2    5    2    4    2  4.549904 0.804420 SUCCESS  38
001011011    1    2    2    1    2    3    1    2  5.062939 0.750828 SUCCESS  39
001011101    3    5    2    7    3    2    0    2 11.318648 0.184290 SUCCESS  40
001011111    3    2    0    3    0    2    3    0  9.591984 0.294838 SUCCESS  41
001100101    3    1    3    5    4    3    2    3  3.551418 0.895163 SUCCESS  42
001100111    1    2    3    2    5    3    1    2  5.013290 0.756155 SUCCESS  43
001101011    2    2    3    4    4    7    4    2  8.030815 0.430466 SUCCESS  44
001101101    1    0    3    2    4    0    4    5  9.956073 0.268123 SUCCESS  45
001101111    3    2    3    3    3    4    0    4  4.136167 0.844634 SUCCESS  46
001110101    2    6    0    1    1    0    5    3 13.779006 0.087711 SUCCESS  47
001110111    4    3    1    4    2    2    2    3  3.016318 0.933329 SUCCESS  48
001111011    2    3    6    1    2    1    2    0  9.834710 0.276819 SUCCESS  49
001111101    4    4    4    2    2    6    1    2  6.789603 0.559494 SUCCESS  50
001111111    2    3    2    3    4    0    7    2 10.198799 0.251349 SUCCESS  51
010000011    1    1    7    3    2    5    3    1 11.611022 0.169421 SUCCESS  52
010000111    4    4    3    4    2    2    5    4  3.794144 0.875202 SUCCESS  53
010001011    4    2    0    4    3    5    4    3  6.083491 0.637880 SUCCESS  54
010001111    2    9    4    4    4    6    3    2 18.280469 0.019219 SUCCESS  55
010010011    2    4    2    2    2    3    1    3  2.894955 0.940776 SUCCESS  56
010010111    2    6    3    7    0    1    1    4 15.555319 0.049206 SUCCESS  57
010011011    1    2    5    3    3    4    1    2  5.134653 0.743092 SUCCESS  58
010011111    2    4    3    2    5    2    5    3  4.378893 0.821424 SUCCESS  59
010100011    3    3    0    3    6    3    4    4  7.203340 0.514861 SUCCESS  60
010100111    0    0    2    5    2    2    4    5 10.369810 0.240023 SUCCESS  61
010101011    2    2    2    2    4    3    2    3  1.896469 0.984023 SUCCESS  62
010101111    4    2    2    2    3    2    3    4  2.017832 0.980460 SUCCESS  63
010110011    7    6    1    3    6    1    3    4 15.627033 0.048040 SUCCESS  64
010110111    5    3    2    1    1    4    3    5  6.375865 0.605207 SUCCESS  65
010111011    5    2    1    4    5    1    2    2  6.960614 0.540888 SUCCESS  66
010111111    3    2    0    1    1    3    4    0  9.299609 0.317655 SUCCESS  67
011000111    4    4    0    0    1    0    1    1 13.707292 0.089721 SUCCESS  68
011001111    2    3    3    1    4    3    3    5  3.551418 0.895163 SUCCESS  69
011010111    3    4    3    1    6    6    6    1 13.094960 0.108624 SUCCESS  70
011011111    3    3    3    2    1    6    2    6  8.615564 0.375756 SUCCESS  71
011101111    2    1    0    3    3    3    2    6  8.251475 0.409299 SUCCESS  72
011111111    4    2    3    3    6    2    5    3  5.912479 0.657035 SUCCESS  73
100000000    2    3    3    5    1    3    4    3  3.551418 0.895163 SUCCESS  74
100010000    2    2    7    2    1    2    3    0 11.368296 0.181691 SUCCESS  75
100100000    4    2    3    4    3    2    3    3  1.433083 0.993764 SUCCESS  76
100101000    4    1    1    2    4    2    3    5  5.548391 0.697673 SUCCESS  77
100110000    4    3    5    1    3    4    1    2  5.256016 0.729895 SUCCESS  78
100111000    4    6    1    4    2    3    6    0 12.146123 0.144802 SUCCESS  79
101000000    2    1    5    3    2    0    0    5 10.954559 0.204287 SUCCESS  80
101000100    2    2    3    3    1    6    6    5 10.149150 0.254713 SUCCESS  81
101001000    4    2    5    8    4    6    3    2 15.456022 0.050862 SUCCESS  82
101001100    3    3    7    1    3    6    2    3 10.855262 0.210036 SUCCESS  83
101010000    2    2    4    1    3    4    1    0  7.010263 0.535526 SUCCESS  84
101010100    3    1    3    3    6    5    4    4  7.032329 0.533149 SUCCESS  85
101011000    0    4    2    5    1    2    2    2  7.424000 0.491651 SUCCESS  86
101011100    4    5    6    2    4    6    4    0 12.802586 0.118825 SUCCESS  87
101100000    1    5    3    0    4    3    7    2 12.438497 0.132685 SUCCESS  88
101100100    3    4    3    4    3    3    1    2  2.431569 0.964846 SUCCESS  89
101101000    2    1    3    3    1    3    4    7  9.200312 0.325681 SUCCESS  90
101101100    1    1    1    1    2    0    0    4 11.881331 0.156578 SUCCESS  91
101110000    6    4    6    4    4    4    6    2 12.046826 0.149127 SUCCESS  92
101110100    2    7    4    6    3    2    1    2 11.853748 0.157850 SUCCESS  93
101111000    6    3    1    2    4    3    2    3  5.669754 0.684169 SUCCESS  94
101111100    3    5    1    2    2    1    2    3  5.013290 0.756155 SUCCESS  95
110000000    3    5    3    2    4    4    4    2  3.380407 0.908271 SUCCESS  96
110000010    5    5    6    2    7    3    3    2 12.923949 0.114493 SUCCESS  97
110000100    2    3    2    4    1    1    5    4  5.548391 0.697673 SUCCESS  98
110001000    1    1    3    0    0    2    3    1 10.176733 0.252840 SUCCESS  99
110001010    6    2    2    5    0    2    6    1 13.436983 0.097673 SUCCESS 100
110010000    5    5    3    2    3    4    3    6  7.153692 0.520145 SUCCESS 101
110010010    0    1    6    4    3    1    1    6 14.021732 0.081201 SUCCESS 102
110010100    2    2    5    1    3    4    2    6  7.495714 0.484210 SUCCESS 103
110011000    3    6    3    1    7    0    0    0 19.549263 0.012183 SUCCESS 104
110011010    5    1    2    2    4    3    3    4  4.257530 0.833173 SUCCESS 105
110100000    2    2    5    4    3    2    1    6  7.495714 0.484210 SUCCESS 106
110100010    1    2    2    5    1    8    8    4 23.394263 0.002893 FAILURE 107
110100100    6    1    3    5    2    5    3    3  8.030815 0.430466 SUCCESS 108
110101000    2    3    3    2    4    1    3    3  2.310206 0.969995 SUCCESS 109
110101010    1    1    3    2    4    7    4    5 11.147636 0.193473 SUCCESS 110
110101100    0    7    2    5    2    3    1    3 12.317134 0.137605 SUCCESS 111
110110000    3    2    0    2    4    2    5    2  6.133139 0.632321 SUCCESS 112
110110010    3    1    2    0    2    3    1    1  7.473648 0.486494 SUCCESS 113
110110100    5    2    2    3    3    1    3    7  9.321675 0.315891 SUCCESS 114
110111000    5    3    6    3    4    2    5    5  8.687278 0.369360 SUCCESS 115
110111010    1    4    4    2    3    2    2    4  3.430055 0.904550 SUCCESS 116
110111100    4    2    0    1    1    2    1    4  8.301123 0.404622 SUCCESS 117
111000000    7    3    3    2    5    2    1    3  9.321675 0.315891 SUCCESS 118
111000010    1    0    3    3    2    1    3    3  5.890413 0.659506 SUCCESS 119
111000100    3    1    6    2    1    2    3    4  6.960614 0.540888 SUCCESS 120
111000110    3    1    3    2    3    6    4    2  5.669754 0.684169 SUCCESS 121
111001000    5    4    2    2    1    1    4    4  5.962128 0.651474 SUCCESS 122
111001010    4    4    5    2    6    3    2    2  6.618591 0.578286 SUCCESS 123
111001100    1    6    2    4    5    3    0    2 10.198799 0.251349 SUCCESS 124
111010000    3    5    3    5    5    1    2    3  6.204854 0.624297 SUCCESS 125
111010010    2    3    3    5    1    7    2    5 10.855262 0.210036 SUCCESS 126
111010100    1    5    2    2    1    5    2    3  6.546877 0.586213 SUCCESS 127
111010110    1    8    1    3    3    3    4    3 12.146123 0.144802 SUCCESS 128
111011000    3    2    0    2    3    1    4    1  6.596525 0.580722 SUCCESS 129
111011010    4    5    2    2    1    4    4    4  5.085005 0.748453 SUCCESS 130
111011100    4    4    6    5    3    1    3    4  7.446066 0.489356 SUCCESS 131
111100000    6    2    4    3    3    3    2    4  4.792630 0.779493 SUCCESS 132
111100010    4    1    3    3    1    2    5    2  5.134653 0.743092 SUCCESS 133
111100100    2    5    3    2    2    0    2    3  5.719402 0.678630 SUCCESS 134
111100110    0    2    1    3    6    3    1    4  9.663698 0.289428 SUCCESS 135
111101000    3    4    2    5    2    6    2    1  7.495714 0.484210 SUCCESS 136
111101010    1    2    2    4    2    7    1    5 11.318648 0.184290 SUCCESS 137
111101100    1    3    3    1    3    0    3    1  6.888900 0.548666 SUCCESS 138
111101110    0    3    5    2    4    1    2    3  6.839251 0.554072 SUCCESS 139
111110000    2    1    7    3    0    3    3    2 10.783547 0.214268 SUCCESS 140
111110010    2    4    4    2    3    2    3    2  2.017832 0.980460 SUCCESS 141
111110100    3    2    3    3    3    6    1    2  5.256016 0.729895 SUCCESS 142
111110110    3    4    1    1    3    1    7    4 10.612536 0.224634 SUCCESS 143
111111000    2    0    5    3    0    2    4    2  8.836224 0.356300 SUCCESS 144
111111010    3    5    0    5    3    0    1    1 11.660671 0.166998 SUCCESS 145
111111100    4    1    1    3    1    1    6    1 10.248447 0.248019 SUCCESS 146
111111110    4    2    3    3    6    2    5    3  5.912479 0.657035 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.914062	M = 1500	N = 8	m = 9	n = 12000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    4    3    3    3    4    3    3    1  2.139195 0.976444 SUCCESS   0
000000011    3    3    4    2    4    3    4    1  2.845306 0.943687 SUCCESS   1
000000101    2    4    3    2    7    0    2    3 10.198799 0.251349 SUCCESS   2
000000111    4    3    6    3    4    0    3    1  8.494201 0.386741 SUCCESS   3
000001001    4    3    3    6    2    4    3    3  4.500256 0.809408 SUCCESS   4
000001011    4    4    3    1    5    2    2    5  5.791116 0.670617 SUCCESS   5
000001101    2    1    1    2    1    3    0    3  7.473648 0.486494 SUCCESS   6
000001111    4    5    1    4    6    1    4    1 10.027787 0.263081 SUCCESS   7
000010001    1    4    2    7    2    4    0    2 11.903397 0.155566 SUCCESS   8
000010011    7    3    2    3    2    4    3    2  7.203340 0.514861 SUCCESS   9
000010101    3    4    2    0    2    2    4    2  5.013290 0.756155 SUCCESS  10
000010111    3    4    2    1    6    3    3    5  6.910966 0.546269 SUCCESS  11
000011001    6    4    1    2    4    6    5    2 10.976625 0.203027 SUCCESS  12
000011011    2    2    2    1    2    3    0    2  5.769051 0.673084 SUCCESS  13
000011101    4    5    7    2    5    5    2    1 12.802586 0.118825 SUCCESS  14
000011111    5    2    5    3    5    3    4    1  6.618591 0.578286 SUCCESS  15
000100011    0    5    2    4    3    4    0    2  8.957587 0.345887 SUCCESS  16
000100101    3    2    7    5    1    2    4    4 10.149150 0.254713 SUCCESS  17
000100111    6    3    1    4    0    5    3    1 10.904910 0.207146 SUCCESS  18
000101001    2    3    2    4    5    0    0    6 11.903397 0.155566 SUCCESS  19
000101011    3    3    2    4    4    2    5    5  4.500256 0.809408 SUCCESS  20
000101101    2    3    1    3    4    2    4    6  6.083491 0.637880 SUCCESS  21
000101111    2    2    3    0    3    5    2    3  5.427028 0.711111 SUCCESS  22
000110011    6    5    1    2    5    6    2    4 12.096474 0.146951 SUCCESS  23
000110101    3    4    2    5    1    1    2    2  5.427028 0.711111 SUCCESS  24
000110111    4    3    1    2    2    2    1    3  3.893441 0.866607 SUCCESS  25
000111001    1    3    7    3    1    1    4    3 10.198799 0.251349 SUCCESS  26
000111011    2    4    7    1    2    3    1    2  9.785061 0.280437 SUCCESS  27
